Sentence,Sentiment
still early stage hope best human may crack one day someone killed hate jealousy anger one main challenge sodium battery lower energy density compared lithiumion battery mean may able store much energy amount space additionally sodium battery may issue stability safety due highly reactive nature sodium also may require different material electrode electrolyte compared lithiumion battery could lead higher cost longer development time finally also challenge related scaling production sodium battery meet demand largescale application thankyou god bless,0
lithium dead end take 500000 gallon water process ton sodium could path mass production reality talk,0
lithium dead end take 500000 gallon water process ton sodium could path mass production reality talk,0
first dont need electric vehicle convert vehicle right run hydrogen methane alcohol want reinvent wheel,0
cost battery replacement main factor people edge purchasing ev story people charged 20000 replace battery ev unacceptable much cheaper sodium battery would biggest factor getting people buy ev large number country want safety cost plus,0
wont like last 10 20 new batts didnt nice try tho,0
pathetic ev car introduce manufacturer stay mum unsustainable li anymore alternative found yucks,0
u fall behind u suck day,0
sea contains trillion ton sodium wonder cheap,0
one problem sodium battery available home storage use backup power second maker greed profit market share third even u produce battery cheaper buy america doesnt creditablitty reliable partner business reason 5o list made point,0
aluminum sulfur 500 whrs per wait charge 1 minute life span 20 year,0
still early stage hope best human may crack one day someone killed hate jealousy anger one main challenge sodium battery lower energy density compared lithiumion battery mean may able store much energy amount space additionally sodium battery may issue stability safety due highly reactive nature sodium also may require different material electrode electrolyte compared lithiumion battery could lead higher cost longer development time finally also challenge related scaling production sodium battery meet demand largescale application thankyou god bless,0
wont many problem sodium batteriesbut name fewthey dont hold voltage dont hold long low ampsthey last half long recycled upside dont pollute much lithium,0
battery war obsolete produce cheaper hydrogen hydrogen car engine advanced certain level require battery anymore operate done need money research pour onto,0
first dont need electric vehicle convert vehicle right run hydrogen methane alcohol want reinvent wheel,0
there one problem capitalism nothing get cheaper video host isnt familiar capitalism greed work,0
stop destroying planetuse batteriesit us power charge power station required day soon joke,0
man watching video new battery tech since 2010 niobium battery salt battery sand like battery cat piss battery etc etc etc none available today dont know failed test take decade testing man always build hype around never deliver product,0
le efficiency mean volume already heavy dangerous future toyota hydrogen internal combustion engine exhaust water,0
video low actual informationso frustrating,0
lithium dead end take 500000 gallon water process ton sodium could path mass production reality talk,0
think china train truck use high end ev technology transport uyghurs muslim internment camp nah,0
sodium crap life fraction time lithium throw away,0
pure electric never good idea ever,0
people doubt sell chinese,0
lithium dead end take 500000 gallon water process ton sodium could path mass production reality talk,0
energy density limited recharge cycle keep battery vehicle could find use storage battery size important issue range,0
lithium dead end take 500000 gallon water process ton sodium could path mass production reality talk,0
video low actual informationso frustrating,0
lithium bad thats given 236 still havent got point,0
unless double range ev wasting everyone time,0
would china dominant sodium battery market dont think might weaken theyre grip battery market since like said sodium abundant technology held back,0
energy density limited recharge cycle keep battery vehicle could find use storage battery size important issue range,0
cost battery replacement main factor people edge purchasing ev story people charged 20000 replace battery ev unacceptable much cheaper sodium battery would biggest factor getting people buy ev large number country want safety cost plus,0
1 safety 2 fast charge 3 last longer 4 cheappppp,0
stop destroying planetuse batteriesit us power charge power station required day soon joke,0
unless double range ev wasting everyone time,0
pathetic ev car introduce manufacturer stay mum unsustainable li anymore alternative found yucks,0
people doubt sell chinese,0
aluminum sulfur 500 whrs per wait charge 1 minute life span 20 year,0
still need fossil fuel charge electric car drop carbon emission much,0
still need fossil fuel charge electric car drop carbon emission much,0
1 safety 2 fast charge 3 last longer 4 cheappppp,0
wont like last 10 20 new batts didnt nice try tho,0
mean improve battery make sure hydrogen fuel cell charging way need 80 le considerably le environmental damage done battery electric vehicle good environment,0
carbon dioxide doesnt cause global warming,0
know sodium ion energy storage poor man ev lithium ev,0
pathetic ev car introduce manufacturer stay mum unsustainable li anymore alternative found yucks,0
question china steal technology,0
rambling contradicts many time becomes laughable sodium replace lithium 2023 sodium least 10 year behind lithium catl sodium reaching lithium density sodium low density good storage battery go saying nothing value,0
know sodium ion energy storage poor man ev lithium ev,0
hope isnt molten salt battery mainly used military due extremely dangerous corrosive explosion use water case fire,0
going charged fossil fuel,0
video low actual informationso frustrating,0
man watching video new battery tech since 2010 niobium battery salt battery sand like battery cat piss battery etc etc etc none available today dont know failed test take decade testing man always build hype around never deliver product,0
pathetic ev car introduce manufacturer stay mum unsustainable li anymore alternative found yucks,0
bad chinese electric car crazy propensity catch fire,0
still need fossil fuel charge electric car drop carbon emission much,0
technology done hundred plus year ago failed repeating history dont buy hype,0
instead ban private car use public transport system problem solved,0
video audio something playing loop thats completely distracting fy,0
mean improve battery make sure hydrogen fuel cell charging way need 80 le considerably le environmental damage done battery electric vehicle good environment,0
know sodium ion energy storage poor man ev lithium ev,0
one problem sodium battery available home storage use backup power second maker greed profit market share third even u produce battery cheaper buy america doesnt creditablitty reliable partner business reason 5o list made point,0
carbon dioxide doesnt cause global warming,0
pure electric never good idea ever,0
sea contains trillion ton sodium wonder cheap,0
great detailed point video article posted mate hand many way manipulating market able grasp knowledge trading crypto asset early enough still limited due lack technical understanding analyze digital market changed encountered draymus willow strategy emphasis put day trading le affected unpredictable nature market,0
wont like last 10 20 new batts didnt nice try tho,0
bad chinese electric car crazy propensity catch fire,0
chinese propaganda film,0
stock video crappy text speech audio another channel avoid,0
knowing choose use lithium instead sodium start periodic table made like 23 year ago,0
sea contains trillion ton sodium wonder cheap,0
sea contains trillion ton sodium wonder cheap,0
think china train truck use high end ev technology transport uyghurs muslim internment camp nah,0
think china train truck use high end ev technology transport uyghurs muslim internment camp nah,0
need think environment alsouse litithium cause effect environment also pollutes drinking water 2 important life sustain,0
going charged fossil fuel,0
cant wait bright mind use tech replace nissan leaf need life expensive af tesla,0
stop destroying planetuse batteriesit us power charge power station required day soon joke,0
sea contains trillion ton sodium wonder cheap,0
lithium lower price finite resource demand increasing price go hydrogen hand infinite resource thaat scope technological advancement separating therefore see cost lower,0
tohle blbnutí bateriemi skončí pěknou ekologickou katastrofou současný model pokud se rychle nezmění bude znamenat větší ekologickou zátěž než spalování uhlí plynu ropy,1
anything le poluting li co wellcomed,1
chynese b,1
revolutional battery,1
channel real,1
ooooh relationship saudi arabia make even sense,1
ev 10 cheaper manufacturer earn 30 money thats world work,1
tohle blbnutí bateriemi skončí pěknou ekologickou katastrofou současný model pokud se rychle nezmění bude znamenat větší ekologickou zátěž než spalování uhlí plynu ropy,1
shanghai advance,1
আম য চ ন ঘন ট হব,1
sodium tec old back early 1900 tesla,1
sodium tec old back early 1900 tesla,1
dutch invention,1
battery trash,1
de,1
انجاز و انجاز عالمى كمأن,1
current lithium ion battery tell deplete 20 heard would issue sodium ion battery,1
didnt use sodium hydroxide,1
bought 8x lipo4 100ah,1
sodium chloride common salt generally abundant economical source sodium sodium carbonate soda ash le abundant typically produced multistep chemical process,1
dutch invention,1
sodium make battery life longer,1
believe vehicle heard plenty b,1
sodium chloride common salt generally abundant economical source sodium sodium carbonate soda ash le abundant typically produced multistep chemical process,1
happen 204560,1
hurry make,1
ev 10 cheaper manufacturer earn 30 money thats world work,1
valkwagen also use sodium 30 cheaper,1
end european,1
india already developed sodium battery,1
didnt use sodium hydroxide,1
really,1
sodium ev make non sense,1
old video,1
u busy handing money country,1
talking soda ash use sodium salt abundant instead,1
china leading charge sodium battery tech,1
hurry make,1
salt battery,1
revolutional battery,1
salt water fusion helium3 4,1
salt water fusion helium3 4,1
india found huge lithium mine going enough entire world china dependency,1
salt water fusion helium3 4,1
sodium ion battery found indian,1
anybody know company invest stock market subject,1
happen 204560,1
current lithium ion battery tell deplete 20 heard would issue sodium ion battery,1
clickbait,1
sodium ion battery found indian,1
china something revolutionary field bring price,1
ev 10 cheaper manufacturer earn 30 money thats world work,1
salt,1
guess hype abt sodium battery btw sodium power le dense lithium power,1
byd already blade battery available byd vehicle,1
small correction density 160 watt hour per kg kilowatt hour per kg,1
really,1
hurry make,1
effect price table salt,1
building nyc banned u owning lithium battery mobility product like escooter im waiting alternative tech come may sodium battery must market people living highrise building management banning lithium battery fire safety reason,1
made china know mean,1
bought 8x lipo4 100ah,1
sodium chloride common salt generally abundant economical source sodium sodium carbonate soda ash le abundant typically produced multistep chemical process,1
america rabit rabbit tortoise race story comparing chinna,1
china leading charge sodium battery tech,1
hurry make,1
yesssgoo china,1
sum soon able afford salt add food,1
expecting breakthrough india discovered li deposit,1
india found huge lithium mine going enough entire world china dependency,1
itll take decade change,1
u mean salty battrey,1
ai voice,1
use salt thats byproduct water desalination two bird one stone,1
sodium future plasma core tech able run without replacing core 5 year,1
de,1
small correction density 160 watt hour per kg kilowatt hour per kg,1
sodium chloride common salt generally abundant economical source sodium sodium carbonate soda ash le abundant typically produced multistep chemical process,1
soon get customize car battery choice lithium sodium aluminium forth without solar charging painted body glass day nuclear battery safe misuseradiation last longer car throw old car port battery new car choice,1
cant use salt limitless sea water,1
small correction density 160 watt hour per kg kilowatt hour per kg,1
cant use salt limitless sea water,1
chynese b,1
38kwhkg enough said,1
byd already blade battery available byd vehicle,1
made china know mean,1
sum soon able afford salt add food,1
sodium ion,1
grate news,1
salt water fusion helium3 4,1
battery trash,1
effect price table salt,1
bull,1
sodiumcalciumcarbon magnesium potassium iron patha nai agla bar kounsa hoga,1
revolutional battery,1
channel real,1
u mean salty battrey,1
আম য চ ন ঘন ট হব,1
salt water fusion helium3 4,1
company sodium battery production,1
nan,1
salt battery,1
hahahaunited state leader production sodium ion battery landreal estate u hand private sector eventually make naion battery expensive produce capitalism finestlol,1
bought 8x lipo4 100ah,1
انجاز و انجاز عالمى كمأن,1
elon musk may thought 10 year back,1
really,1
hurry make,1
wan na know else electric car change forever electric bill,1
already manufacturing india,1
revolutional battery,1
sodium battery really exists,1
salt kitchen get expensive,1
really,1
yesssgoo china,1
building nyc banned u owning lithium battery mobility product like escooter im waiting alternative tech come may sodium battery must market people living highrise building management banning lithium battery fire safety reason,1
dutch invention,1
looking forward implementation sodium battery massive scale,1
expecting breakthrough india discovered li deposit,1
dutch invention,1
38kwhkg enough said,1
240 microvast separator eliminates issue general motor ultium,1
ai voice,1
expecting breakthrough india discovered li deposit,1
itll take decade change,1
itll take decade change,1
valkwagen also use sodium 30 cheaper,1
one small step battery one big step humanity,1
tohle blbnutí bateriemi skončí pěknou ekologickou katastrofou současný model pokud se rychle nezmění bude znamenat větší ekologickou zátěž než spalování uhlí plynu ropy,1
wan na know else electric car change forever electric bill,1
see aliexpress believe,1
china something revolutionary field bring price,1
salt,1
channel real,1
phd lib mechanical engineering heard battery 2014,1
sodium ion,1
valkwagen also use sodium 30 cheaper,1
sodiumcalciumcarbon magnesium potassium iron patha nai agla bar kounsa hoga,1
fuel cell pave way,1
salt water fusion helium3 4,1
dutch invention,1
every two week new battery technology youtube,1
much talking,1
sum soon able afford salt add food,1
de,1
stock buy,1
old video,1
itll take decade change,1
salt kitchen get expensive,1
much talking,1
clickbait,1
india found huge lithium mine going enough entire world china dependency,1
u mean salty battrey,1
current lithium ion battery tell deplete 20 heard would issue sodium ion battery,1
looking forward implementation sodium battery massive scale,1
one small step battery one big step humanity,1
made china know mean,1
effect price table salt,1
tohle blbnutí bateriemi skončí pěknou ekologickou katastrofou současný model pokud se rychle nezmění bude znamenat větší ekologickou zátěž než spalování uhlí plynu ropy,1
genius invations maybe someday society made nuke betry smartphone,1
building nyc banned u owning lithium battery mobility product like escooter im waiting alternative tech come may sodium battery must market people living highrise building management banning lithium battery fire safety reason,1
think environment,1
revolutional battery,1
made china know mean,1
talking soda ash use sodium salt abundant instead,1
russia need battery make boooo,1
sodium ion battery found indian,1
38kwhkg enough said,1
chinesehaaa haaa,1
tohle blbnutí bateriemi skončí pěknou ekologickou katastrofou současný model pokud se rychle nezmění bude znamenat větší ekologickou zátěž než spalování uhlí plynu ropy,1
anything le poluting li co wellcomed,1
chinesehaaa haaa,1
small correction density 160 watt hour per kg kilowatt hour per kg,1
change everything desroy,1
clickbait,1
fuel cell pave way,1
tohle blbnutí bateriemi skončí pěknou ekologickou katastrofou současný model pokud se rychle nezmění bude znamenat větší ekologickou zátěž než spalování uhlí plynu ropy,1
revolutional battery,1
would tech usa gave away,1
already manufacturing india,1
use salt thats byproduct water desalination two bird one stone,1
let get na ion battery home back power,1
215 today 2019 2 year 2021 new 2023 done 2021,1
yesssgoo china,1
u busy handing money country,1
stock buy,1
see aliexpress believe,1
use crack make pasta,1
talking soda ash use sodium salt abundant instead,1
sodium battery really exists,1
salt water fusion helium3 4,1
game lithium,1
soon get customize car battery choice lithium sodium aluminium forth without solar charging painted body glass day nuclear battery safe misuseradiation last longer car throw old car port battery new car choice,1
see aliexpress believe,1
see aliexpress believe,1
sum soon able afford salt add food,1
america rabit rabbit tortoise race story comparing chinna,1
sodium make battery life longer,1
salt water fusion helium3 4,1
sodium tec old back early 1900 tesla,1
china leading charge sodium battery tech,1
really,1
tohle blbnutí bateriemi skončí pěknou ekologickou katastrofou současný model pokud se rychle nezmění bude znamenat větší ekologickou zátěž než spalování uhlí plynu ropy,1
salt water fusion helium3 4,1
wonder university china stole tech,1
safety major advantage sodium ion battery lithium ion battery small capacity sacrifice however catl also announced new condensed matter battery way better capacity safety fast charging feature lithium sodium ion battery glad see battery technology fast evolving,2
thermal runaway lithium battery mostly resolved design 4680 cell distributes heat efficiently long dont try draw energy also new method extracting lithium environmentally sustainable said like big battery manufacturer pursuing sodium battery seem practical long run mass production lower cost,2
interesting see new technology siliconio v sodiumion battery take lead silicon offer significant higher energy density 20 minute vice 60minute lithiumion charge time vehicle understaning however silicon replaces graphite lithium still used silicon battery,2
major complaint lithiumion battery inherited characteristic nickelcadmium battery want fully discharged charged noticed lot loss longevity partial charging account sometimes ive replace perfectly working device lithiumion battery went kaput tend want charge item reach 30 even tablet smartphone one would good thing better temperature stability another big plus battery electric car dead winter michigan would better range could quick charge well im looking forward yes got soda ash let get making,2
imagine standard battery cell module mandated ev vehicle like cartridge module pack range 50 mile 100 mile ect instead fueling replace pack auto bay drive swap move along course would require billion upon billion dollar infrastructure design collaboration however would essential solve ev issue thanks advancement battery tech like sodium battery matter instead,2
development sodium ion battery encouraging wonder energy density problem could offset development better solar energy vehicle powered sodium ion battery could charge maintained body composed solar cell add isntallation charging station may looking big slice near future transportation,2
think good idea get away mining cobalt nickel etc respect catl really good thing wish great success,2
hopefully porting sodium battery portable electronic market aa aaa c rechargeable battery size would quickly take maybe even cell phone well,2
sodium weighs almost 4 time lithium weight lack capacity sodium seems pretty far used ev least,2
would great see u get way lead way ev production technology interesting tessa recall every single car sold china story learning huge investment lithium mining southern ca new lithium valley reported supply mineral compared china u going support cleaner technology sodium use logic coal mining continue produce energy increase co2 guess big business look short term gain always dig lithium watch china go green 20 year become leader battery technology,2
wont efficient liion price would dirt cheap compared lithium battery everything go well wont necessarily huge break battery tech rather make thing easier however world waiting different battery technology high energy density explosion risk abundance gryphene battery promised,2
think chinese company actually battery swapping station cant remember name way company incorporate sodium battery would logistically possible would great environment able swap battery around instead recycling,2
recent year growing interest developing pakistan soda ash reserve 2017 government pakistan awarded 25year lease chinese company develop soda ash mine salt range mine expected start production 2023 production capacity 1 million ton per year,2
incredible durable battery cheaper build friendly environment,2
sodium ion technology 20 year happy see became commercialized 20 year window,2
sound cool wonder well work,2
change nothing 2023 24 25 even 26 may change thing still early stage development whm sodium range long way today behind lithium based solution mass production scale sodium actually commercially useable solution take time even 2026 principle data several lab looking promising good achievable scale quickly tesla lg chem catl etc would investing heavily production refining lithium based technology tesla would,2
according knowledge israel india jointly excellent work sodium battery technology many automobile company also completed successful trial sodium battery soon sodium battery available public use,2
good hear thatsave earthsave life go ev,2
think chance sodium ion battery reach 250wh kg think need 500wh kg make electric mobility revolution,2
innovation innovation china lead world innovation china come far fast trend end time soon,2
sodiumion battery developed aquion energy united state 2009,2
160kw kg ill take 3 mitsubishi minicab miev id love 247 kg weight saving 300 time range,2
think battery used home solar system doesnt need compact light weight ev also need strong storage frame like car moving traffic know kind battery best suited home solar system,2
north american government spent money rd instead giving handout pevs maybe would ahead battery game,2
cost kwh drive market price energy storage material im sure marketing sodium ion battery see price drop kwh gain market share market sustained 80 kwh price consumer always increase day forth like innovation cleaner readily avail product dont keep hope make thing cheaper,2
biggest problem modern world reliance economic platform often depend scarcity debt create wealth abundance material resource antithetical platform answer actual need material resource also protection collateral damage toxic output though separate question platform directly affect every user even profiteer overall define whether system sustainable benefit people environs entity coexisting interdependent whatever system current use,2
good innovation looking forward japan pitch quality long lasting sure,2
great video highest density information li v na battery,2
hit asia affluent market ev price 45k asian car smaller battery smaller also people dont drive far need 200km range usa people want big suv good acceleration liion better,2
cool fill tank salt shaker want extra pep try pepper chilli flake case porsches cayenne manual recommend use cayenne pepper,2
near future 4 cell sodium ion battery storing 400kwhr energy charged solar cell roof amount stored battery enough keep full house running least 5 day electricity go,2
would interesting take brine desalination plant recycle make sodium battery way better option releasing brine back ecosystem,2
good news ev industry new inventor,2
long take charge charge time make hydrogen dominant energy source,2
catl announced 270whkg sodium batterywhile u busy sending money ukraine keep going please,2
want completely ruin battery business ev make battery sodium sodium battery best fitted electricity storage system,2
maybe current sodium ion tech equal iphone iphone 3 every success starting point first step success sodium ion battery,2
1910 edison created sodium ion battery tech fitted bailey electric vehicle drove 1000 mile endurance test 1 charge even better empty depleted sodium ion battery liquid drain unlike lithium ion wont poison water supply ground,2
sodium based battery look promising especially mining refining far cleaner mineral used lithium battery china lead way america start learning chinese unless capitalise salt deposit asap,2
invention may go silent time like past invention,2
another miracle week change world forever crossing finger,2
everything look positive dense cant hold charge try use price per weight sodium still expensive rollout would 2040 thermal runaway safer lithium iron anyways thanks vid,2
rare earth well cobalt rare rare earth china massive supply,2
mercedes eqxx twice efficient tesla model put 50kwh sodium ion battery eqxx would equal range model 100kwh battery phone laptop built efficient battery could replace lithium battery almost everything could make grid level storage backup solarwind farm could go 100 renewable grid worldwide immediately,2
long get 100km battery im happy dont drive day,2
efficiency sodium battery better lithium nope wont meaning electric suv pickup truck sodium battery lithium mean vehicle heavier wasting power,2
hoping bloom energy cell would replace battery tech fuel cell tech several decade old easiest fill via methane cleanest via hydrogen,2
awesome video thank,2
look promising look forward never hearing,2
farmer tell sodium excess cause soil condition known sodicity enough sodium world taken onboard farmer happily collect soda come surface winter allow company rid free happily humanity thus kill two bird one stone wishful thinking must many rich policy influencing people compute better suited need want otherwise someone somewhere liable pop eighteenth century patent technology shut,2
reported mainstream news elon musk buying using cost effective byd battery ev car production since march 2023 elon musk eat uncomplimentary word said 2015 talked byd,2
savory energy drink next big thing yayy,2
environment friendly adept new technology lithium problem aspect,2
rest world arguing whether trans men mensurate chinese putting use technology discovered english chemist 1807 developed upon aquion energy long receiving government private loan company filed bankruptcy 2017 asset sold chinese manufacturer julinetitans abandoned aquions patent tldr research expensive let make profit selling tech chinese buy back penny dollar,2
china need sodium ash u keep vast ocean full sodium chloride china technology extract sodium efficiently china forever forefront battery technology,2
chinese well combat climate change democratizing ev ordinary man africa afford god bless chinese,2
ev keep blowing ill wait tesla come kinda trust scientist engineer first,2
wrong na battery almost zero influence 2023 pick bit next year isnt huge gigafactory line expect even future low energy density li energy density expected increase dramatically solid state li half cycle time life li part na battery actually expensive li battery battery isnt lithium sodium cost finally take many year roll ten billion dollar infrastructure lithium ion battery supply chain mention vastly dollar li rd cant happen overnight clearly 2023 video headline claim,2
new latest energy source,2
ready release 50 year,2
interesting thing always feel like first create even though imitating result people development tested result last long gimmick,2
sodium silicon battery amazing,2
