,Sentence,Sentiment
113,worst thing ai javascript framework,0
149,know im tired ai stuff maybe go back weekly javascript framework cycle,0
92,finally good ai video learn something real stop listening stupid people ai kill humanity,0
143,counterbalance comment contrary indeed sick ai video,0
126,image search engine better google good image search engine better google made using javascript wtf,0
126,image search engine better google good image search engine better google made using javascript wtf,0
143,counterbalance comment contrary indeed sick ai video,0
99,stop blowing mind dude much power hand,0
90,new tool coming ai equivalent new javascript framework coming doomed,0
29,damn started really rely fireship ai news,0
53,tired mainstream ai video video always unique intriguing,0
126,image search engine better google good image search engine better google made using javascript wtf,0
57,hello veen interested thing dont love builder pattern many video explain bad opinion please,0
126,image search engine better google good image search engine better google made using javascript wtf,0
126,image search engine better google good image search engine better google made using javascript wtf,0
126,image search engine better google good image search engine better google made using javascript wtf,0
29,damn started really rely fireship ai news,0
29,damn started really rely fireship ai news,0
149,know im tired ai stuff maybe go back weekly javascript framework cycle,0
152,remember guy web 30 xdxd scam useless piece tech xdxd,0
57,hello veen interested thing dont love builder pattern many video explain bad opinion please,0
12,dont stop ai vids last video introduced vector database used easily solve big hairy ugly business problem employer make lot money get pat back,0
12,dont stop ai vids last video introduced vector database used easily solve big hairy ugly business problem employer make lot money get pat back,0
141,everybody say vector database scam never dealt word embedding playing around word2vec cosine similarity,0
29,damn started really rely fireship ai news,0
139,many word thrown even compete,1
119,man wan na,1
67,could used build hotdog hotdog matcher,1
153,javascript life,1
43,episode medusa open source ecommerce j framework,1
97,need ai video,1
139,many word thrown even compete,1
85,use clip generate description image youve generated map image without manual labour,1
105,consider 1020 slower pace depth tutorial video,1
50,seeing video vector database main channel knew next,1
50,seeing video vector database main channel knew next,1
106,im going say beyond fireship fireship,1
135,nan,1
142,really needed slow video,1
106,im going say beyond fireship fireship,1
27,imagine jeff life without javascript,1
103,overlook something heavy lifting real magic happen img2vec nn vector database,1
24,keep posting video ai thing change every single aspect life,1
106,im going say beyond fireship fireship,1
155,ah youre sponsored j,1
125,u make video pnpm,1
138,rip ram running,1
24,keep posting video ai thing change every single aspect life,1
97,need ai video,1
129,nextjs thinking video,1
61,math wizard im wondering thing since yesterday vector database actually tensor database,1
103,overlook something heavy lifting real magic happen img2vec nn vector database,1
155,ah youre sponsored j,1
111,host,1
161,1 st thing,1
114,109 ai take place,1
150,holy sh,1
117,inevitable someone write ai javascript dont make rule,1
75,video established three major skill ai devs first ai apis prompt engineering vector database,1
67,could used build hotdog hotdog matcher,1
159,first,1
155,ah youre sponsored j,1
27,imagine jeff life without javascript,1
136,using pnpm,1
41,make scrape entire internet every single image thats ever uploaded download vectorize along metadata store server,1
97,need ai video,1
46,shouldve used rektor database already invested next big thing,1
139,many word thrown even compete,1
84,build chatbot based recursively scraped documentation website embeddings vector database,1
34,considering storage resource scale convert image base64 string,1
111,host,1
65,make visualisation show embedding stored weaviate,1
46,shouldve used rektor database already invested next big thing,1
112,maybe use find copilot meme,1
24,keep posting video ai thing change every single aspect life,1
87,didnt use elastic search,1
117,inevitable someone write ai javascript dont make rule,1
159,first,1
41,make scrape entire internet every single image thats ever uploaded download vectorize along metadata store server,1
155,ah youre sponsored j,1
43,episode medusa open source ecommerce j framework,1
159,first,1
134,cliënt schema getter every day javascript one step closer becoming java,1
65,make visualisation show embedding stored weaviate,1
82,use ai voice generation,1
135,nan,1
142,really needed slow video,1
34,considering storage resource scale convert image base64 string,1
24,keep posting video ai thing change every single aspect life,1
38,keep ai video comingggg,1
150,holy sh,1
34,considering storage resource scale convert image base64 string,1
119,man wan na,1
84,build chatbot based recursively scraped documentation website embeddings vector database,1
112,maybe use find copilot meme,1
155,ah youre sponsored j,1
132,tell actually understand vector database c student doesnt make sense,1
48,im trying pick vector database moment anyone reason would pick say pinecone weviate viceversa,1
135,nan,1
65,make visualisation show embedding stored weaviate,1
127,seems valid,1
160,readfilesync,1
67,could used build hotdog hotdog matcher,1
43,episode medusa open source ecommerce j framework,1
65,make visualisation show embedding stored weaviate,1
105,consider 1020 slower pace depth tutorial video,1
142,really needed slow video,1
97,need ai video,1
75,video established three major skill ai devs first ai apis prompt engineering vector database,1
156,sleep,1
84,build chatbot based recursively scraped documentation website embeddings vector database,1
159,first,1
106,im going say beyond fireship fireship,1
112,maybe use find copilot meme,1
111,host,1
156,sleep,1
147,ai voice,1
119,man wan na,1
67,could used build hotdog hotdog matcher,1
156,sleep,1
7,also done using clip model indexing vector knn type opensearch using cosine similarity find similar image clip model search image text image input,1
111,host,1
41,make scrape entire internet every single image thats ever uploaded download vectorize along metadata store server,1
46,shouldve used rektor database already invested next big thing,1
106,im going say beyond fireship fireship,1
7,also done using clip model indexing vector knn type opensearch using cosine similarity find similar image clip model search image text image input,1
155,ah youre sponsored j,1
43,episode medusa open source ecommerce j framework,1
106,im going say beyond fireship fireship,1
50,seeing video vector database main channel knew next,1
82,use ai voice generation,1
43,episode medusa open source ecommerce j framework,1
134,cliënt schema getter every day javascript one step closer becoming java,1
134,cliënt schema getter every day javascript one step closer becoming java,1
129,nextjs thinking video,1
37,la versión de node mínima requerida e 1600,1
150,holy sh,1
139,many word thrown even compete,1
147,ai voice,1
117,inevitable someone write ai javascript dont make rule,1
41,make scrape entire internet every single image thats ever uploaded download vectorize along metadata store server,1
46,shouldve used rektor database already invested next big thing,1
43,episode medusa open source ecommerce j framework,1
61,math wizard im wondering thing since yesterday vector database actually tensor database,1
132,tell actually understand vector database c student doesnt make sense,1
129,nextjs thinking video,1
160,readfilesync,1
105,consider 1020 slower pace depth tutorial video,1
106,im going say beyond fireship fireship,1
136,using pnpm,1
134,cliënt schema getter every day javascript one step closer becoming java,1
155,ah youre sponsored j,1
142,really needed slow video,1
103,overlook something heavy lifting real magic happen img2vec nn vector database,1
114,109 ai take place,1
134,cliënt schema getter every day javascript one step closer becoming java,1
7,also done using clip model indexing vector knn type opensearch using cosine similarity find similar image clip model search image text image input,1
134,cliënt schema getter every day javascript one step closer becoming java,1
136,using pnpm,1
159,first,1
65,make visualisation show embedding stored weaviate,1
27,imagine jeff life without javascript,1
7,also done using clip model indexing vector knn type opensearch using cosine similarity find similar image clip model search image text image input,1
37,la versión de node mínima requerida e 1600,1
112,maybe use find copilot meme,1
65,make visualisation show embedding stored weaviate,1
139,many word thrown even compete,1
114,109 ai take place,1
46,shouldve used rektor database already invested next big thing,1
67,could used build hotdog hotdog matcher,1
67,could used build hotdog hotdog matcher,1
112,maybe use find copilot meme,1
150,holy sh,1
63,question question scale 10 gb image 200 kb file using small thumbnail instead full sized image encode search link real one,1
128,reminds aviato,1
139,many word thrown even compete,1
161,1 st thing,1
128,reminds aviato,1
34,considering storage resource scale convert image base64 string,1
125,u make video pnpm,1
136,using pnpm,1
105,consider 1020 slower pace depth tutorial video,1
139,many word thrown even compete,1
156,sleep,1
67,could used build hotdog hotdog matcher,1
153,javascript life,1
119,man wan na,1
135,nan,1
63,question question scale 10 gb image 200 kb file using small thumbnail instead full sized image encode search link real one,1
128,reminds aviato,1
41,make scrape entire internet every single image thats ever uploaded download vectorize along metadata store server,1
103,overlook something heavy lifting real magic happen img2vec nn vector database,1
117,inevitable someone write ai javascript dont make rule,1
24,keep posting video ai thing change every single aspect life,1
150,holy sh,1
156,sleep,1
38,keep ai video comingggg,1
117,inevitable someone write ai javascript dont make rule,1
117,inevitable someone write ai javascript dont make rule,1
155,ah youre sponsored j,1
155,ah youre sponsored j,1
87,didnt use elastic search,1
125,u make video pnpm,1
50,seeing video vector database main channel knew next,1
117,inevitable someone write ai javascript dont make rule,1
111,host,1
139,many word thrown even compete,1
129,nextjs thinking video,1
7,also done using clip model indexing vector knn type opensearch using cosine similarity find similar image clip model search image text image input,1
114,109 ai take place,1
63,question question scale 10 gb image 200 kb file using small thumbnail instead full sized image encode search link real one,1
147,ai voice,1
27,imagine jeff life without javascript,1
139,many word thrown even compete,1
38,keep ai video comingggg,1
43,episode medusa open source ecommerce j framework,1
114,109 ai take place,1
46,shouldve used rektor database already invested next big thing,1
136,using pnpm,1
129,nextjs thinking video,1
150,holy sh,1
155,ah youre sponsored j,1
106,im going say beyond fireship fireship,1
67,could used build hotdog hotdog matcher,1
128,reminds aviato,1
128,reminds aviato,1
106,im going say beyond fireship fireship,1
147,ai voice,1
161,1 st thing,1
161,1 st thing,1
0,definitely tired ai video great always,2
1,time ai driven javascript framework run edge sure mix stuff j driven ai framework would essentially apocalypse,2
2,tired ai content amazing thank,2
3,please keep making video nonstop pace ai right theyre thing helping feel like im staying current,2
4,doesnt matter topic j somehow always get involved lol,2
5,content constantly impress programmer educator im amazed much well,2
6,far one best video ever made keep u updated channel could become new tech news reporter video format thanks good work,2
8,ai video mate video always informative entertaining subject,2
9,would love video comparing different vector database choose one pinecone,2
10,made look simple im definitely trying evening thanks jeff,2
11,even little bit tired ai video anything id love see tutorial,2
13,ai video help u make job easier keepem coming,2
14,there absolutely nothing apologise another great video please keep em coming always,2
15,definitely sick ai video fact direction feel like going go hard quality talking surface content thank,2
16,great video could make video crawl data knowledge base transfer vector databas search,2
17,super cool like easy task nowadays,2
18,would solve one interesting problem future project cool stuff becoming widely available right need,2
19,id like take look project jarvis microsoft essentially combine many llm together create something similar chatgpt literally everything,2
20,right load ai video moment one actually useful,2
21,tired ai ai future please make ai video,2
22,actually good topic storing processing data still important thing,2
23,dont stop ai news young aspiring developer need know much possible use info advantage,2
25,got kinda good idea hopefully get time play work sometime soon good video always,2
26,yeah vector database around quite availability open source vectorizer model made vector search viable use case seeing proper database easy handle client unfortunately biggest issue vector search database side thing theyre mostly relying compression distance computation algorithm big issue vectorization use case like text image similarity use huggingface model asis business specific thing youd train model tough af,2
28,helpful straightforward,2
30,super ai day would quite easy step implement removing watermark,2
31,hey guy mentioned image converted numerical array like vector find similarity different image know exactly work compare vector another vector thanks,2
32,please,2
33,wow look amazing anyone tell something similar local search want efficient low cpu low memory consuming solution identify face image groupsearch similar photo photo local instead searching internet say something similar google photo possible highlight feature well may include ai well,2
35,love kind video gave lot idea,2
36,hey fireship font use video look pretty clean,2
39,insanely good ai art,2
40,tired ai content,2
42,realizing could use reverse stable diffusion feed prompt generates image reverse image search return image stole learned create output,2
44,amazing work,2
45,took text input ran something like dalle make use text input get turned image hood,2
47,please version text similarity search,2
49,yay finally docker fireship,2
51,im tired ai video maybe new channel fireship ai,2
52,appreciate slightly slower pace video,2
54,please make tutorial vector db mongodb time,2
55,man learn mean start journey please make video journey would inspirational many,2
58,wonder kind image similiarity algorithm use assume completely free use locally dont see restriction anywhere right missed,2
59,awesome tutorial,2
60,loved 3,2
62,goal creating j framework ai,2
64,nice one,2
68,loved video test image got rofl,2
69,top tier content found,2
70,vector 2022 q4 ive come trillion dollar concept text file data store data single file col separated something like tab code comma row separated new line beta name tabbed text file comma text file reply ready invest,2
71,im building search engine right heck lmfao although im using nlp process index page although use vector database didnt friggin know three day ago time rewrite guess,2
72,sample repo thanks,2
73,man friggin love fireship,2
74,nice video got idea next project,2
76,say report ai content make sense take discussion legitimate thats always worked remember ajax took every discussion back 2000s nowadays special thing done internet large internet programming practically inseparable nowadays folk cant cope next big wave hit thats theyll pay price line luddite instead learning rest u p,2
77,next time made ai build superior javascript framework,2
78,ai vids pls,2
79,sound like youre actually using ai voice video,2
80,vector db video today actually looking weaviate start playing need start next web70 thing,2
81,javascript framework drew content meme cant miss tech saying interesting database something traditionally boring get attention due vector data querying querying high dimensional vector space isnt trivial there lot data still need fast seriously advanced theory tech,2
83,moar ai video por favor,2
86,fell like normal neural network extra memory usage,2
88,dont stop ai hype dont let denialists stop,2
89,cool oh god,2
94,um kind beginner never trouble understanding vids one way beyond lvl lol,2
95,noooo enough j ai please,2
96,much talk gpt im surprised didnt get gpt generate entire thing,2
100,b64d different format image without converting certain file format send vector db congratz uploaded spanish english french sentence db queried english sentence nearest match english sentence,2
101,really appreciated mention sponsored,2
102,soon image boorus going fantastic,2
107,feel like video made ai im already paranoic,2
109,database werent confusing enough,2
110,thats facial recognition work thank god chatgpt help read debug error,2
115,ai voice fireship sound great,2
118,0029 leo david duke profile pic lol,2
120,wonder render db like elasticsearch obsolete,2
121,yes pause view read meme,2
122,javascript good job,2
123,uploading image db db bloat pretty quickly,2
124,thank,2
130,guy voice ai found website creates voice text notice voice feeling currently dont understand content like,2
131,javascript truly tier language,2
133,love content although im still going piece shit recommend using deesser mic input,2
137,well built,2
145,noooo ai content best,2
146,people tired ai video og follower rely youll nice little cult like follower choice little niche boomer follower huge base follower love content even dont know shit programming ai,2
148,okay voice voice,2
151,rektor db superior,2
154,ily,2
157,super sick ai video,2
162,please dont recommend docker desktop window power elegance linux ddfw actually virtual machine,2
